unique_id,ds,target_value
TS1,2025-02-06 00:00:00,-1.0
TS2,2025-02-06 00:20:00,-1.0
TS3,2025-02-06 00:40:00,-1.0
TS4,2025-02-06 01:00:00,-1.0
TS5,2025-02-06 01:20:00,-1.0
TS6,2025-02-06 01:40:00,-1.0
TS7,2025-02-06 02:00:00,-1.0
TS8,2025-02-06 02:20:00,-1.0
TS9,2025-02-06 02:40:00,-1.0
TS10,2025-02-06 03:00:00,394.0
TS11,2025-02-06 03:20:00,416.0
TS12,2025-02-06 03:40:00,430.0
TS13,2025-02-06 04:00:00,451.0
TS14,2025-02-06 04:20:00,462.0
TS15,2025-02-06 04:40:00,465.0
TS16,2025-02-06 05:00:00,472.0
TS17,2025-02-06 05:20:00,482.0
TS18,2025-02-06 05:40:00,492.0
TS19,2025-02-06 06:00:00,506.0
TS20,2025-02-06 06:20:00,512.0
TS21,2025-02-06 06:40:00,522.0
TS22,2025-02-06 07:00:00,529.0
TS23,2025-02-06 07:20:00,535.0
TS24,2025-02-06 07:40:00,548.0
TS25,2025-02-06 08:00:00,557.0
TS26,2025-02-06 08:20:00,562.0
TS27,2025-02-06 08:40:00,567.0
TS28,2025-02-06 09:00:00,580.0
TS29,2025-02-06 09:20:00,583.0
TS30,2025-02-06 09:40:00,587.0
TS31,2025-02-06 10:00:00,589.0
TS32,2025-02-06 10:20:00,591.0
TS33,2025-02-06 10:40:00,594.0
TS34,2025-02-06 11:00:00,597.0
TS35,2025-02-06 11:20:00,600.0
TS36,2025-02-06 11:40:00,602.0
TS37,2025-02-06 12:00:00,608.0
TS38,2025-02-06 12:20:00,610.0
TS39,2025-02-06 12:40:00,612.0
TS40,2025-02-06 13:00:00,613.0
TS41,2025-02-06 13:20:00,614.0
TS42,2025-02-06 13:40:00,616.0
TS43,2025-02-06 14:00:00,619.0
TS44,2025-02-06 14:20:00,621.0
TS45,2025-02-06 14:40:00,623.0
TS46,2025-02-06 15:00:00,625.0
TS47,2025-02-06 15:20:00,626.0
TS48,2025-02-06 15:40:00,627.0
TS49,2025-02-06 16:00:00,630.0
TS50,2025-02-06 16:20:00,632.0
TS51,2025-02-06 16:40:00,634.0
TS52,2025-02-06 17:00:00,636.0
TS53,2025-02-06 17:20:00,637.0
TS54,2025-02-06 17:40:00,640.0
TS55,2025-02-06 18:00:00,645.0
TS56,2025-02-06 18:20:00,648.0
TS57,2025-02-06 18:40:00,652.0
TS58,2025-02-06 19:00:00,656.0
TS59,2025-02-06 19:20:00,662.0
TS60,2025-02-06 19:40:00,664.0
TS61,2025-02-06 20:00:00,667.0
TS62,2025-02-06 20:20:00,670.0
TS63,2025-02-06 20:40:00,670.0
TS64,2025-02-06 21:00:00,674.0
TS65,2025-02-06 21:20:00,674.0
TS66,2025-02-06 21:40:00,676.0
TS67,2025-02-06 22:00:00,677.0
TS68,2025-02-06 22:20:00,679.0
TS69,2025-02-06 22:40:00,682.0
TS70,2025-02-06 23:00:00,685.0
TS71,2025-02-06 23:20:00,686.0
TS72,2025-02-06 23:40:00,691.0
TS73,2025-02-07 00:00:00,692.0
TS74,2025-02-07 00:20:00,695.0
TS75,2025-02-07 00:40:00,697.0
TS76,2025-02-07 01:00:00,697.0
TS77,2025-02-07 01:20:00,699.0
TS78,2025-02-07 01:40:00,699.0
TS79,2025-02-07 02:00:00,699.0
TS80,2025-02-07 02:20:00,701.0
TS81,2025-02-07 02:40:00,704.0
TS82,2025-02-07 03:00:00,709.0
TS83,2025-02-07 03:20:00,710.0
TS84,2025-02-07 03:40:00,711.0
TS85,2025-02-07 04:00:00,712.0
TS86,2025-02-07 04:20:00,712.0
TS87,2025-02-07 04:40:00,712.0
TS88,2025-02-07 05:00:00,715.0
TS89,2025-02-07 05:20:00,715.0
TS90,2025-02-07 05:40:00,715.0
TS91,2025-02-07 06:00:00,717.0
TS92,2025-02-07 06:20:00,719.0
TS93,2025-02-07 06:40:00,719.0
TS94,2025-02-07 07:00:00,722.0
TS95,2025-02-07 07:20:00,724.0
TS96,2025-02-07 07:40:00,728.0
TS97,2025-02-07 08:00:00,730.0
TS98,2025-02-07 08:20:00,732.0
TS99,2025-02-07 08:40:00,732.0
TS100,2025-02-07 09:00:00,734.0
TS101,2025-02-07 09:20:00,736.0
TS102,2025-02-07 09:40:00,739.0
TS103,2025-02-07 10:00:00,739.0
TS104,2025-02-07 10:20:00,740.0
TS105,2025-02-07 10:40:00,741.0
TS106,2025-02-07 11:00:00,743.0
TS107,2025-02-07 11:20:00,743.0
TS108,2025-02-07 11:40:00,743.0
TS109,2025-02-07 12:00:00,745.0
TS110,2025-02-07 12:20:00,745.0
TS111,2025-02-07 12:40:00,745.0
TS112,2025-02-07 13:00:00,746.0
TS113,2025-02-07 13:20:00,747.0
TS114,2025-02-07 13:40:00,747.0
TS115,2025-02-07 14:00:00,747.0
TS116,2025-02-07 14:20:00,747.0
TS117,2025-02-07 14:40:00,747.0
TS118,2025-02-07 15:00:00,747.0
TS119,2025-02-07 15:20:00,748.0
TS120,2025-02-07 15:40:00,748.0
TS121,2025-02-07 16:00:00,748.0
TS122,2025-02-07 16:20:00,748.0
TS123,2025-02-07 16:40:00,748.0
TS124,2025-02-07 17:00:00,748.0
TS125,2025-02-07 17:20:00,748.0
TS126,2025-02-07 17:40:00,748.0
TS127,2025-02-07 18:00:00,748.0
TS128,2025-02-07 18:20:00,748.0
TS129,2025-02-07 18:40:00,748.0
TS130,2025-02-07 19:00:00,748.0
TS131,2025-02-07 19:20:00,748.0
TS132,2025-02-07 19:40:00,748.0
TS133,2025-02-07 20:00:00,748.0
TS134,2025-02-07 20:20:00,748.0
TS135,2025-02-07 20:40:00,748.0
TS136,2025-02-07 21:00:00,748.0
TS137,2025-02-07 21:20:00,748.0
TS138,2025-02-07 21:40:00,748.0
TS139,2025-02-07 22:00:00,748.0
TS140,2025-02-07 22:20:00,748.0
TS141,2025-02-07 22:40:00,748.0
TS142,2025-02-07 23:00:00,748.0
TS143,2025-02-07 23:20:00,748.0
TS144,2025-02-07 23:40:00,748.0
